delta,method,runs,restricted_mean,ci_low,ci_high,cap,certified,censored,wrong_certificates,coverage_failures,mean_final_regret,mean_confidence_size,mean_diagnostic_fraction
0.1,task_task,200,64.43,60.879375,68.12025,50000,200,0,1,6,0.0019199999999999452,2.0,0.8876229183706164
0.1,entropy_task,200,55.425,52.65,58.4,50000,200,0,1,5,0.0019199999999999452,2.0,0.8785214544434526
0.1,full_task,200,475.935,398.944125,563.7948749999999,50000,200,0,0,5,-5.551115123125783e-17,1.91,0.9351514335013852
0.01,task_task,200,84.46,79.989875,89.205375,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.8990100595576723
0.01,entropy_task,200,74.875,71.599875,78.395125,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.8945026306268875
0.01,full_task,200,783.58,668.045125,908.73175,50000,200,0,0,0,-5.551115123125783e-17,1.93,0.9479533294213276
0.001,task_task,200,103.29,98.514875,108.31,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.9081697601675448
0.001,entropy_task,200,96.635,92.81475,100.675,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.9064036114752203
0.001,full_task,200,1127.22,979.5519999999999,1279.3243750000001,50000,200,0,0,0,-5.551115123125783e-17,1.925,0.9564696552063728
1e-06,task_task,200,158.32,152.74975,164.220125,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.9250701663079162
1e-06,entropy_task,200,170.21,159.24875,185.67024999999998,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.9271501345141852
1e-06,full_task,200,2364.615,2114.2563750000004,2634.1055,50000,200,0,0,0,-5.551115123125783e-17,1.895,0.9730485417851676
1e-10,task_task,200,223.99,217.694625,230.220625,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.9366769967070033
1e-10,entropy_task,200,375.465,327.3525,436.35787500000004,50000,200,0,0,0,-5.551115123125783e-17,2.0,0.9455666794821943
1e-10,full_task,200,4232.085,3867.1725,4601.525375,50000,200,0,0,0,-5.551115123125783e-17,1.85,0.9816038867502707
